"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
819,"NCT04367792","Cardiac Injury in COVID-19: a Pathology Study",,"Active, not recruiting","No Results Available","COVID-19",,"Cardiac pathological findings from series of 60 patients dying from COVID-19 disease|viral load in cardiac tissues and the extent of damage|Co-localize the SARS-CoV-2 using RNAscope in situ hybridization, with its entry receptor ACE2 and serine protease TMPRSS2 in different cell types found in the heart|Multi-organ involvement obtained from hystological analyses of paraffine blocks from different organs (ie kidney, spleen, bowel,....)","A.O. Ospedale Papa Giovanni XXIII|CVPath Institute Inc. Renu Virmani, Aloke Finn|A.O. Ospedale Papa Giovanni XXIII, Anatomia Patologica, Dr Andrea Gianatti, co-PI","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","56/20","April 23, 2020","October 2020","March 2021","April 29, 2020",,"August 10, 2020","ASST Ospedale Papa Giovanni XXIII, Bergamo, Italy",,"https://ClinicalTrials.gov/show/NCT04367792"
820,"NCT04790240","Medical Herbs Inhibit Inflammation Directing T Cells to Kill the COVID-19 Virus (COVID)","COVID","Recruiting","No Results Available","Covid19 Virus Infection","Dietary Supplement: Inflammation (I)|Dietary Supplement: Inflammation (II)|Dietary Supplement: Inflammation (III)|Drug: Standard of care","recovering damaged organ|inhibiting inflammation|preventing the antibody depositing on antigen|monitoring the antibody level|correcting reversed immunity ratio|tracking the COVID virus marks","All Natural Medicine Clinic, LLC","All","10 Years to 70 Years   (Child, Adult, Older Adult)","Phase 1|Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","CHM2282395-1","February 1, 2021","December 2022","March 2023","March 10, 2021",,"March 10, 2021","All Natural Medicine Clinic, LLC, Rockville, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04790240"
821,"NCT04493359","Switch of Renin-Angiotensin System Inhibitors in Patients With Covid-19","SWITCH-COVID","Recruiting","No Results Available","Covid19|Angiotensin II Receptor Antagonist Adverse Reaction","Drug: Renin-angiotensin system inhibitors","Need for ICU or mortality|High sensitivity troponin levels and covid-19 severity|ACE-2 activity and disease severity|ACE-2 activity with different Renin-angiotensin system inhibitors|Blood control and acute renal failure","University of Sao Paulo","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2|Phase 3","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","33575220.9.0000.0068","July 25, 2020","February 14, 2022","February 14, 2022","July 30, 2020",,"July 31, 2020","Instituto do Coração - Incor HCFMUSP, São Paulo, SP, Brazil",,"https://ClinicalTrials.gov/show/NCT04493359"
822,"NCT04618796","Effect of COVID-19 Pandemic on Vaccination Compliance",,"Not yet recruiting","No Results Available","Vaccine Refusal","Other: vaccine","Measure the vaccination coverage rate among the studied children after the COVID-19 pandemic","Assiut University","All","1 Year to 2 Years   (Child)",,"100","Other","Observational","Observational Model: Case-Crossover|Time Perspective: Cross-Sectional","Effect of COVID on vaccination","April 1, 2021","April 1, 2022","May 1, 2022","November 6, 2020",,"November 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04618796"
823,"NCT04384042","Malaysian COVID-19 Anosmia Study (Phase 2) - A Nationwide Multicentre Case-Control Study",,"Recruiting","No Results Available","SARS-CoV Infection|COVID-19|Anosmia|Dysgeusia","Other: Patient-Reported Online Questionnaire on Olfactory & Taste Disturbances","Presence or absence of olfactory and taste disturbances in study participants|Adjusted odds ratio of olfactory & taste disturbances in COVID-19 infection|Clinical manifestations of study participants|Other pre-existing health conditions|Positive predictive value (PPV) of olfactory and taste disturbances in predicting diagnosis of COVID-19 infection|Negative predictive value (NPV) of olfactory and taste disturbances in predicting absence of COVID-19 infection|Sensitivity of olfactory and taste disturbances in predicting COVID-19 infection|Specificity of olfactory and taste disturbances in predicting COVID-19 infection","Hospital Sultanah Bahiyah|Hospital Tuanku Fauziah, Kangar, Perlis|Penang Hospital, Malaysia|Hospital Raja Permaisuri Bainun|Hospital Sungai Buloh, Selangor|Kuala Lumpur General Hospital|Hospital Tuanku Jaafar, Seremban, Negeri Sembilan|Hospital Melaka, Melaka|Hospital Enche Besar Hajjah Khalsom, Kluang, Johor|Hospital Raja Perempuan Zainab II, Kota Bahru, Kelantan|Hospital Sultanah Nur Zahirah, Kuala Terengganu, Terengganu|Hospital Tengku Ampuan Afzan, Kuantan, Pahang|Sarawak General Hospital|Hospital Queen Elizabeth, Malaysia","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","MCO-002|NMRR-20-934-54803","June 6, 2020","March 31, 2021","March 31, 2021","May 12, 2020",,"February 25, 2021","Hospital Enche' Besar Hajjah Khalsom, Kluang, Johor, Malaysia|Hospital Sultanah Bahiyah, Alor Setar, Kedah, Malaysia|Hospital Raja Perempuan Zainab II, Kota Bharu, Kelantan, Malaysia|Hospital Tuanku Jaafar, Seremban, Negeri Sembilan, Malaysia|Hospital Tengku Ampuan Afzan, Kuantan, Pahang, Malaysia|Penang Hospital, George Town, Penang, Malaysia|Hospital Raja Permaisuri Bainun, Ipoh, Perak, Malaysia|Hospital Tuanku Fauziah, Kangar, Perlis, Malaysia|Hospital Queen Elizabeth, Kota Kinabalu, Sabah, Malaysia|Sarawak General Hospital, Kuching, Sarawak, Malaysia|Hospital Sungai Buloh, Sungai Buloh, Selangor, Malaysia|Hospital Sultanah Nur Zahirah, Kuala Terengganu, Terengganu, Malaysia|Kuala Lumpur General Hospital, Kuala Lumpur, Malaysia|Hospital Melaka, Melaka, Malaysia",,"https://ClinicalTrials.gov/show/NCT04384042"
824,"NCT04513158","Convalescent Plasma in the Early Treatment of High-Risk Patients With SARS-CoV-2 (COVID-19) Infection",,"Recruiting","No Results Available","Covid19","Biological: Convalescent Plasma","Determine the therapeutic efficacy (response rate) of convalescent plasma infusion in patients at high risk for mortality when infected by SARS-CoV-2 (COVID-19).|Determine the immunologic effects of convalescent plasma infusion|Absolute lymphocyte count (10*3/uL)|reatinine kinase (mg/dL)|C-reactive protein (mg/dl)|D-Dimer (ng/ml FEU)|Interleukin-6 (pg/ml)|Ferritin (ng/mL)","Joseph M. Flynn, D.O., MPH|Norton Healthcare","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-N0124","August 14, 2020","August 1, 2021","December 31, 2021","August 14, 2020",,"October 19, 2020","Norton Hospital, Louisville, Kentucky, United States|Norton Women's and Children's Hospital, Louisville, Kentucky, United States|Norton Audubon Hospital, Louisville, Kentucky, United States|Norton Brownsboro Hospital, Louisville, Kentucky, United States",,"https://ClinicalTrials.gov/show/NCT04513158"
825,"NCT04344249","Cohort of Patients With Inflammatory Bowel Disease During COVID-19 Pandemic","IBD-COVID-19","Recruiting","No Results Available","IBD|COVID",,"IgG and IgM anti SARS-CoV-2|Clinical factors and severity of COVID-19 infection|demographic factors and severity of COVID-19 infection|pharmacologic factors and severity of COVID-19 infection","Nantes University Hospital","All","18 Years to 100 Years   (Adult, Older Adult)",,"850","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RC20_0150","April 10, 2020","September 30, 2020","September 1, 2021","April 14, 2020",,"April 30, 2020","Chu Nantes, Nantes, France",,"https://ClinicalTrials.gov/show/NCT04344249"
826,"NCT04828629","Complications and the Influence of COVID-19 on Myocardial Function and Exercise Capacity",,"Recruiting","No Results Available","Covid19|Heart Failure","Diagnostic Test: Diagnostic tests","Prognosis in patients who have recovered from COVID-19|Review of selected laboratory tests in patients who have recovered from COVID-19|The imaging of pulmonary changes in patients who have recovered from COVID-19|Review of selected Holter ECG monitoring data in patients who have recovered from COVID-19|Review of selected echocardiographic data in patients who have recovered from COVID-19|Review of parameters in the spiroergometric study in patients who have recovered from COVID-19|Body mass analysis in patients who have recovered from COVID-19","Polish Mother Memorial Hospital Research Institute","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","PMMHRI-BCO.75/2020","December 23, 2020","December 1, 2021","December 1, 2022","April 2, 2021",,"April 2, 2021","Heart Failure Unit; Department of Cardiology and Congenital Diseases of Adults, Polish Mother's Memorial Hospital Research Institute, Łódź, Polska, Poland",,"https://ClinicalTrials.gov/show/NCT04828629"
827,"NCT04358211","Expanded Access to Convalescent Plasma to Treat and Prevent Pulmonary Complications Associated With COVID-19",,"No longer available","No Results Available","COVID-19","Biological: Biological: COVID-19 convalescent plasma",,"Nakhle Saba, MD|Tulane University","All","18 Years and older   (Adult, Older Adult)",,,"Other","Expanded Access:Intermediate-size Population|Treatment IND/Protocol",,"2020-595",,,,"April 24, 2020",,"March 8, 2021","Tulane Medical Center, New Orleans, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04358211"
828,"NCT04372056","The COVID-ICU Healthcare Professional Study",,"Recruiting","No Results Available","COVID-19|Critical Care|Intensive Care Units|Health Personnel","Behavioral: Views and experiences of health care professionals working in intensive care units during the COVID-19 pandemic","Views and experiences of health care professionals working in intensive care units during the COVID-19 pandemic","Oslo University Hospital","All","20 Years and older   (Adult, Older Adult)",,"2200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","136144","May 6, 2020","May 6, 2021","May 6, 2021","May 1, 2020",,"August 27, 2020","Oslo university hospital, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT04372056"
829,"NCT04794998","A Simple Approach to Treat COVID-19 Patients at Home.","COVER","Recruiting","No Results Available","COVID 19","Drug: Recommended treatment schedule|Drug: Control treatment schedule","Time to complete remission","Mario Negri Institute for Pharmacological Research","All","18 Years and older   (Adult, Older Adult)",,"216","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","COVER","February 8, 2021","March 30, 2021","March 30, 2021","March 12, 2021",,"March 12, 2021","Clinical Reserach Center for Rare Diseases ""Aldo e Cele Daccò"", Ranica, BG, Italy",,"https://ClinicalTrials.gov/show/NCT04794998"
830,"NCT04416893","Part 2 on the Study Prevalence of SARS -Cov2 Carriage in Asymptomatic and Mildly-symptomatic Children (COVILLE2 )","COVILLE2","Not yet recruiting","No Results Available","COVID19","Diagnostic Test: RT-PCR SARS-Cov2|Diagnostic Test: Sars-Cov2 serology","Proportion of asymptomatic children or children with mild respiratory symptoms|Cov2-SARS cases by age|Cov2-SARS cases by symptoms|Viral load|Presence of anti-SARS-CoV-2 antibodies (IgM and IgG) by the rapid serological test","Centre Hospitalier Intercommunal Creteil|Association Clinique Thérapeutique Infantile du val de Marne|GPIP|GFRUP","All","up to 15 Years   (Child)",,"630","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVILLE2","June 7, 2020","September 15, 2020","November 15, 2020","June 4, 2020",,"June 4, 2020",,,"https://ClinicalTrials.gov/show/NCT04416893"
831,"NCT04429815","Impact of Smoking and Nicotine on the Risk of Being Infected With COVID-19","MAGIC","Not yet recruiting","No Results Available","Smoking Behaviors","Diagnostic Test: Serological test for COVID-19.","Percentage of patients with a positive serological test for COVID-19.","Central Hospital, Nancy, France","All","18 Years and older   (Adult, Older Adult)",,"489","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020-A01681-38","July 1, 2020","March 1, 2021","April 1, 2021","June 12, 2020",,"June 12, 2020",,,"https://ClinicalTrials.gov/show/NCT04429815"
832,"NCT04385043","Hyperimmune Plasma in Patients With COVID-19 Severe Infection","COV2-CP","Recruiting","No Results Available","COVID-19","Other: plasma hyperimmune|Drug: standard therapy","decrease in mortality|lymphocytes|PCR levels vs control|PCR levels vs before treatment|AB levels and clinical improvement|Inflammatory cytokines vs controls|Inflammatory cytokines vs before treatment","University of Catanzaro|Azienda Ospedaliera Universitaria Mater Domini, Catanzaro|Azienda Sanitaria Provinciale Di Catanzaro|Annunziata Hospital, Cosenza, Italy|Azienda Ospedaliera Bianchi-Melacrino-Morelli","All","18 Years to 60 Years   (Adult)","Phase 2|Phase 3","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Covid-19 convalescent plasma","May 1, 2020","October 15, 2020","May 15, 2021","May 12, 2020",,"May 12, 2020","Azienda Ospedaliera Policlinico Mater Domini, Catanzaro, Italy|Azienda Ospedaliera Pugliese Ciaccio Catanzaro, Catanzaro, Italy|Azienda Ospedaliera Annunziata, Cosenza, Italy|Azienda Sanitaria Provinciale, Crotone, Italy|Azienda Ospedaliera Bianchi Melacrino Morelli, Reggio Calabria, Italy|Azienda Sanitaria Provinciale, Vibo Valentia, Italy",,"https://ClinicalTrials.gov/show/NCT04385043"
833,"NCT04401228","Predictive Models for Intensive Care Admission and Death of COVID-19",,"Active, not recruiting","No Results Available","COVID19|Pneumonia, Viral|Inflammatory Response","Other: predict admission of covid-19 patients to ICU and death with routine and quickly avalaible clinical, biological and radiological variables?","admission to ICU|death","Clinique Saint Pierre Ottignies","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","0410508057","March 1, 2020","May 1, 2020","January 1, 2021","May 26, 2020",,"May 26, 2020","Clinique Saint-Pierre, Ottignies, Brabant Wallon, Belgium",,"https://ClinicalTrials.gov/show/NCT04401228"
834,"NCT04723290","COVID-19 Seroconversion Study Among GHdC Staff Members - Summer 2020",,"Completed","No Results Available","Covid19","Diagnostic Test: Serological tests for SARS Cov-2","Serological tests to know the level of antibodies against SARS CoV-2","Grand Hôpital de Charleroi","All","18 Years and older   (Adult, Older Adult)","Not Applicable","2817","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","SERO-SARS-CoV-2 GHdC","June 20, 2020","October 31, 2020","December 31, 2020","January 25, 2021",,"March 25, 2021","Grand Hôpital de Charleroi, Charleroi, Hainaut, Belgium",,"https://ClinicalTrials.gov/show/NCT04723290"
835,"NCT04584411","Patterns of Arrhythmias and Conduction Block in COVID-19 Patients and Its Relation to Myocardial Injury Detected by Cardiac Magnetic Resonance",,"Not yet recruiting","No Results Available","Covid19","Diagnostic Test: Cardiac Magnetic resonance imaging","Evaluation of the incidence of arrhythmia and conduction block in COVID-19 patients using Holter|Detection of myocardial injury in COVID-19 patients using CMR.","Assiut University","All","18 Years to 80 Years   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","arrhythmias in COVID-19","November 1, 2020","November 1, 2021","January 1, 2024","October 14, 2020",,"October 14, 2020",,,"https://ClinicalTrials.gov/show/NCT04584411"
836,"NCT04434248","An Adaptive Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19",,"Active, not recruiting","No Results Available","COVID-19","Drug: Favipiravir|Drug: Standard of Care","Rate of viral elimination by Day 10 [pilot stage, dose selection]|Time to viral elimination [pivotal stage]|Time to clinical improvement [pivotal stage]|Rate of viral elimination|Time to normalization of clinical symptoms|Duration of oxygen therapy|Change in the level of lung damage according to CT|Rate of transfer to the intensive care unit|Rate of the use of non-invasive lung ventilation|Rate of the use of mechanical ventilation|Mortality|Peak plasma concentration (Cmax)|Time to peak plasma concentration (Tmax)|Area under the plasma concentration versus time curve (AUC0-t)|Trough plasma concentration (Ctrough)","Chromis LLC|Chemical Diversity Research Institute","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","330","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COVID-FPR-01","April 23, 2020","July 2020","July 2020","June 16, 2020",,"June 16, 2020","Republican Clinical Hospital, Makhachkala, Russian Federation|""K+31"" Clinic, Moscow, Russian Federation|""Khaven"" Llc, Moscow, Russian Federation|Central Clinical Hospital with Polyclinic, Moscow, Russian Federation|Central Research Institute of Epidemiology, Moscow, Russian Federation|City Clinical Hospital n.a. O.M. Filatov, Moscow, Russian Federation|City Clinical Hospital named after S.S. Yudin, Moscow, Russian Federation|City Clinical Hospital No. 24, Moscow, Russian Federation|City Clinical Hospital No. 51, Moscow, Russian Federation|First Moscow State Medical University n.a. I.M. Sechenov, Moscow, Russian Federation|Moscow State University n.a. M. V. Lomonosov, Moscow, Russian Federation|National Medical and Surgical Center named after N.I. Pirogov, Moscow, Russian Federation|City Hospital № 33 of the Leninsky region of Nizhny Novgorod, Nizhny Novgorod, Russian Federation|Infectious clinical hospital No.2 of Nizhny Novgorod, Nizhny Novgorod, Russian Federation|Ryazan State Medical University named after I.P. Pavlov, Ryazan, Russian Federation|Military Medical Academy named after S.M. Kirova, Saint Petersburg, Russian Federation|Saratov State Medical University named after V.I. Razumovsky, Saratov, Russian Federation|Clinical hospital No.1, Smolensk, Russian Federation|Regional Clinic Hospital, Tver, Russian Federation|Bashkir State Medical University, Ufa, Russian Federation|Yakutsk City Clinical Hospital, Yakutsk, Russian Federation|Yaroslavl Regional Clinical Hospital for War Veterans, Yaroslavl, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04434248"
837,"NCT04523831","Clinical Trial of Ivermectin Plus Doxycycline for the Treatment of Confirmed Covid-19 Infection",,"Completed","Has Results","Covid19","Drug: Ivermectin and Doxycycline|Drug: Standard of care","Number of Patients With Early Clinical Improvement|Number of Participants With Late Clinical Recovery|Number of Patients Having Clinical Deterioration.|Number of Patients Remain Persistently Positive for RT-PCR of Covid-19","Dhaka Medical College","All","18 Years and older   (Adult, Older Adult)","Phase 3","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ERC-DMC/ECC/2020/117","June 1, 2020","August 22, 2020","September 10, 2020","August 24, 2020","October 9, 2020","October 9, 2020","Dhaka Medical College, Dhaka, Bangladesh","""Study Protocol and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT04523831/Prot_ICF_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT04523831/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04523831"
838,"NCT04438070","COVID Screening Strategies in Homeless Shelters",,"Recruiting","No Results Available","COVID-19","Diagnostic Test: COVID-19 Swab","COVID-19 Detection Rate|Number of outbreaks|Enrollment over time","St. Joseph's Healthcare Hamilton|Timothy O'Shea|Marek Smieja|Lawrence Mbuagbaw","All","18 Years and older   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening","2020-10864-T","April 10, 2020","June 2020","June 2020","June 18, 2020",,"June 18, 2020","Various Homeless Shelters, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04438070"
839,"NCT04652115","A Single-Arm Safety and Feasibility Study of Defibrotide for the Treatment of Severe COVID-19","DF in COVID19","Not yet recruiting","No Results Available","Covid19","Drug: Defibrotide","The rate of adverse event of special interest (bleeding and hypotension)","Brigham and Women's Hospital|Jazz Pharmaceuticals","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","42","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020P003203","January 1, 2021","November 1, 2022","November 1, 2023","December 3, 2020",,"December 3, 2020","Brigham and Women's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04652115"
840,"NCT04358783","Convalescent Plasma Compared to the Best Available Therapy for the Treatment of SARS-CoV-2 Pneumonia","COP-COVID-19","Active, not recruiting","No Results Available","Coronavirus Infection","Biological: Plasma|Other: Best Available Therapy","Early all-cause mortality|Time in days for SARS-CoV-2 RT-PCR negatives|The serum anti-SARS-CoV-2 antibody titres|Detection of serum antibodies","Hospital Universitario Dr. Jose E. Gonzalez","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IF20-00002","April 27, 2020","May 1, 2021","May 30, 2021","April 24, 2020",,"February 23, 2021","Hospital Universitario José E. Gonzalez, Monterrey, Nuevo Leon, Mexico",,"https://ClinicalTrials.gov/show/NCT04358783"
841,"NCT04343794","Using Biovitals® Sentinel to Monitor Disease Progression in Subjects Quarantined for Suspected COVID-19",,"Recruiting","No Results Available","COVID19","Device: BIOVITALS","Time to diagnosis of COVID-19 by RT-PCR in subjects|Compliance to complete the study|Sensitivity and specificity of Biovitals® Sentinel|Cross infection rate within the family cluster|Length of hospital stay of positive subjects|Length of ICU stay of positive patients|National Early Warning Score 2 rating of positive patients|Viral load of positive patients|Worsening of comorbidities|Mortality","The University of Hong Kong","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","COVID19_Biovitals_Protocol_1","April 1, 2020","December 31, 2021","January 31, 2022","April 13, 2020",,"April 15, 2020","The University of Hong Kong, Queen Mary Hospital, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04343794"
842,"NCT04800146","A Study on the Immune-response to COVID-19 Vaccination in Cancer Patients - the IOSI-COVID-19-001 Study",,"Recruiting","No Results Available","Covid19|Cancer","Procedure: Blood sample","Immune response to SARS-CoV-2 vaccine in cancer patients|changes in serum antibodies anti SARS-CoV-2 after vaccination|Cellular immune response to SARS-CoV-2 vaccine|Immune response to SARS-CoV-2 vaccine according tumor and treatment type","Ilaria Colombo|Institute for Research in Biomedicine|Ente Ospedaliero Cantonale, Bellinzona|Oncology Institute of Southern Switzerland","All","Child, Adult, Older Adult",,"240","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","IOSI-COVID19-001","February 25, 2021","June 30, 2022","December 30, 2022","March 16, 2021",,"March 16, 2021","Oncology Institute of Southern Switzerland, Bellinzona, Switzerland",,"https://ClinicalTrials.gov/show/NCT04800146"
843,"NCT04568499","Presenting Nutrition Characteristics, Comorbidities and Outcomes of COVID-19 in African Humanitarian Settings",,"Recruiting","No Results Available","COVID-19",,"Hospitalization|Mortality","Johns Hopkins Bloomberg School of Public Health|International Medical Corps|Centers for Disease Control and Prevention","All","5 Years and older   (Child, Adult, Older Adult)",,"1000","Other|U.S. Fed","Observational","Observational Model: Cohort|Time Perspective: Prospective","13736","November 27, 2020","June 2021","September 2021","September 29, 2020",,"April 6, 2021","Goma General Hospital, Goma, Congo, The Democratic Republic of the|Bukavu General Hospital, Kinshasa, Congo, The Democratic Republic of the|Dr John Garang Infectious Diseases Unit, Juba, South Sudan",,"https://ClinicalTrials.gov/show/NCT04568499"
844,"NCT04519398","Investigating the Involvement of ACE and Angiotensinogen Genes' Polymorphism Along With Other Thrombophilic Genotypes in Severe Forms of COVID-19 With/Without Thrombotic Events","iGenes-COVID19","Recruiting","No Results Available","Covid19|Corona Virus Infection|Thrombosis|ARDS|Thrombophilia|Thromboses, Intracranial|Thromboses, Deep Vein|RAAS","Genetic: Complete thrombophilic profile testing by multiplex PCR","Number of patients with thrombophilic profile alterations|Number of patients with RAAS components alterations","Grigore T. Popa University of Medicine and Pharmacy","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","GTP0051","August 18, 2020","February 17, 2021","August 18, 2021","August 19, 2020",,"August 19, 2020","University of Medicine and Pharmacy Gr T. Popa Iasi, Romania, Iasi, Romania",,"https://ClinicalTrials.gov/show/NCT04519398"
845,"NCT04375176","Monocytes and NK Cells Activity in Covid-19 Patients",,"Recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2|Immunomodulation","Diagnostic Test: Study of immune-mediated mechanisms in patients tested positive for SARS-CoV-2","Immune cells activity|Protective factors and new therapeutic strategies","Università degli Studi dell'Insubria","All","18 Years and older   (Adult, Older Adult)",,"150","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","67/2020","April 27, 2020","June 30, 2020","October 31, 2020","May 5, 2020",,"May 5, 2020","ATS Insubria, Varese, Italy",,"https://ClinicalTrials.gov/show/NCT04375176"
846,"NCT04621071","Efficacy of Probiotics in Reducing Duration and Symptoms of COVID-19","PROVID-19","Recruiting","No Results Available","COVID-19","Dietary Supplement: Probiotics (2 strains 10x10^9 UFC)|Dietary Supplement: Placebo (potato starch and magnesium stearate)","Duration of symptoms of the COVID-19|Severity of the COVID-19|Evolution of oral and fecal microbiota","Centre de recherche du Centre hospitalier universitaire de Sherbrooke|Lallemand Health Solutions","All","18 Years and older   (Adult, Older Adult)","Not Applicable","84","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2021-3700","January 12, 2021","June 2021","July 2021","November 9, 2020",,"April 9, 2021","CIUSSS de L'Estrie-CHUS Hospital, Sherbrooke, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT04621071"
847,"NCT04357444","Low Dose of IL-2 In Acute Respiratory DistrEss Syndrome Related to COVID-19","LILIADE-COVID","Active, not recruiting","No Results Available","COVID 19","Drug: 1: ILT101|Drug: 2: Placebo Comparator","The PaO2/FiO2 ratio at D11|Changes in Tregs between Baseline and Day 7 (expressed in %)|Number of days alive with oxygen therapy within 28 days|Maximal oxygen rate within 28 days|Number of days alive free of invasive or non-invasive ventilation within 28 days|Number of days alive outside ICU within 28 days|Number of days alive outside hospital within 28 days|Time (in days) from randomization to death|Mortality rate at D28|Difference between CRP levels at randomization and at Day 7 (or at the time of discharge if occurs before Day 7)|Use of antibiotics for respiratory (proved or suspected) infection within 28 days|Number of prone positioning sessions|Changes in Tregs during the different visits between baseline and day 28|Cytokines analysis on plasma samples at Day 0, 7 and 14|Tregs numbers during induction period and throughout the follow up period at day 5, 7, 11, 14 and 28 compared to baseline before the first IL-2 injection.|Tregs percentages during induction period and throughout the follow up period at day 5, 7, 11, 14 and 28 compared to baseline before the first IL-2 injection.|Deep Immunophenotyping of Cellular components in blood samples at Day 0, 7, and 14|T cell repertoire on Treg, after sorting from blood at Day 7 and Day 14 and compared to baseline|T cell repertoire on Teff (CD4 and CD8) after sorting from blood at Day 7 and Day 14 and compared to baseline|Single cells sequencing will be performed in BAL at Day 7 and Day 14 and compared to baseline.","Assistance Publique - Hôpitaux de Paris|Iltoo Pharma","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","APHP200406|2020-001571-32","October 23, 2020","November 2, 2020","April 23, 2021","April 22, 2020",,"April 9, 2021","Service Anesthésie Réanimation - Groupe Hospitalier Pitié-Salpêtrière, Paris, France",,"https://ClinicalTrials.gov/show/NCT04357444"
848,"NCT04487977","Survey on COVID-19 Airway Management","ISAM-COVID","Recruiting","No Results Available","Airway Management","Other: Survey","Preferred device","Spanish Society of Anesthesia and Critical Care (SEDAR)|Confederation of Latin American Societies of Anaesthesiology (CLASA)","All","Child, Adult, Older Adult",,"5000","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","ISAM-COVID","April 22, 2020","September 30, 2020","September 30, 2020","July 27, 2020",,"July 27, 2020","Consorcio Hospital General Universitario de Valencia, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT04487977"
